
Jun		333.23	8	566.28	14	1096.78	17	584.72	8	226.82	5	850.44	11	1241.16	16	20.82	3	211.56	8

Jul		333.23	8	515.76	17	1142.13	12	575.86	10	268.06	3	838.98	12	1166.28	24	45.84	1	229.56	5

Ago		358.76	5	542.88	19	1178.41	8	567.00	12	185.58	7	884.82	8	1194.36	21	33.33	2	211.56	8

Set		316.21	10	494.52	23	1133.06	13	567.00	12	206.20	6	907.74	6	1185.00	22	45.84	1	235.56	4

Out		332.97	8	402.01	34	820.44	57	382.50	29	91.50	11	650.26	32	985.30	42	51.00	0	256.20	0

Nov		315.99	10	401.04	32	798.18	60	395.42	27	128.10	9	678.97	29	1029.60	37	51.00	0	256.20	0

Dez		315.99	10	444.58	31	813.02	58	388.96	28	73.20	12	698.11	27	958.72	45	43.19	1	256.20	0
